"Edad","Abandono","Viajes","Departamento","DistanciaDesdeCasa","Educacion","CampoDeEducacion","SatisfaccionEnAmbiente","Genero","Implicacion","NivelCargo","Puesto","SatisfaccionEnTrabajo","EstadoCivil","SueldoMensual","NumEmpresasTrabajadas","HorasExtra","PorcentajeAumentoSalarial","Rendimiento","RelacionSatisfaccion","NivelAcciones","AnosTotalesTrabajados","CursosUltimoAno","EquilibrioVidaTrabajo","AnosEnEmpresa","AnosEnPuestoActual","AnosDesdeUltimaPromocion","AnosConJefeActual","BeneficioNeto"
42,"No","Viaja_Raramente","Investigacion & Desarrollo",23,5,"Ciencias de la Salud",1,"Mujer",3,4,"Director de Investigacion",4,"Soltero",15992,2,"No",14,3,2,0,16,2,3,1,0,0,0,36713.8372330249
29,"No","No_Viaja","Ventas",2,3,"Ciencias de la Salud",4,"Hombre",3,2,"Ejecutivo de Ventas",3,"Casado",4649,1,"No",14,3,1,1,4,3,2,4,3,0,2,66428.4682390281
42,"No","Viaja_Raramente","Recursos Humanos",2,1,"Tecnico",3,"Hombre",3,1,"Recursos Humanos",3,"Divorciado",2696,0,"Si",11,3,3,1,4,5,3,3,2,1,0,25187.2357786657
32,"No","Viaja_Raramente","Investigacion & Desarrollo",2,3,"Medicina",3,"Mujer",3,1,"Tecnico de Laboratorio",2,"Casado",2370,1,"No",13,3,3,1,8,4,3,8,0,0,7,27971.9858050474
48,"No","Viaja_Raramente","Ventas",29,1,"Medicina",1,"Mujer",3,3,"Manager",3,"Casado",12504,3,"No",21,4,2,1,15,3,1,0,0,0,0,61324.5200699599
37,"No","Viaja_Raramente","Investigacion & Desarrollo",6,3,"Medicina",3,"Hombre",4,2,"Investigador Cientifico",1,"Divorciado",5974,4,"Si",13,3,1,2,13,2,3,7,7,6,7,70102.9053008176
30,"No","No_Viaja","Ventas",25,2,"Tecnico",4,"Mujer",3,2,"Ejecutivo de Ventas",3,"Casado",4736,7,"Si",12,3,2,1,4,2,4,2,2,2,2,109591.768203287
26,"No","Viaja_Raramente","Ventas",1,3,"Ciencias de la Salud",3,"Hombre",3,2,"Ejecutivo de Ventas",3,"Casado",5296,1,"No",17,3,2,1,8,3,3,8,7,7,7,68053.4423804292
42,"No","Viaja_Raramente","Investigacion & Desarrollo",2,4,"Otro",1,"Hombre",2,2,"Representante de Salud",4,"Soltero",6781,3,"No",23,4,2,0,14,6,3,1,0,0,0,25396.0186348591
21,"Si","Viaja_frecuentemente","Ventas",1,1,"Tecnico",1,"Mujer",2,1,"Representante de Ventas",2,"Soltero",2174,1,"Si",11,3,3,0,3,1,3,3,2,1,2,36811.2062362911
36,"No","No_Viaja","Ventas",1,5,"Medicina",4,"Mujer",3,2,"Ejecutivo de Ventas",4,"Soltero",6653,4,"No",15,3,2,0,7,6,3,1,0,0,0,55996.524444705
36,"No","Viaja_frecuentemente","Ventas",3,4,"Medicina",1,"Hombre",2,3,"Ejecutivo de Ventas",4,"Casado",9699,4,"No",11,3,1,1,16,2,3,13,9,1,12,5496.93509894151
57,"No","Viaja_Raramente","Investigacion & Desarrollo",1,4,"Medicina",4,"Hombre",3,2,"Representante de Salud",3,"Casado",6755,2,"No",11,3,3,0,15,2,3,3,2,1,2,227.216226861601
40,"No","Viaja_Raramente","Investigacion & Desarrollo",10,4,"Ciencias de la Salud",4,"Mujer",4,1,"Tecnico de Laboratorio",3,"Casado",2213,3,"Si",13,3,3,1,10,3,3,7,7,1,7,55606.3874706662
21,"No","No_Viaja","Ventas",9,2,"Medicina",1,"Hombre",3,1,"Representante de Ventas",4,"Soltero",2610,1,"No",24,4,3,0,3,3,2,3,2,2,2,84399.4721195056
33,"Si","Viaja_Raramente","Ventas",5,3,"Marketing",4,"Mujer",3,1,"Representante de Ventas",3,"Soltero",2851,1,"Si",13,3,2,0,1,1,3,1,0,0,0,31786.8219976566
37,"No","Viaja_Raramente","Investigacion & Desarrollo",10,3,"Medicina",3,"Mujer",3,1,"Tecnico de Laboratorio",1,"Casado",3452,6,"No",20,4,2,1,17,3,3,5,4,0,3,64794.8527206881
46,"No","No_Viaja","Investigacion & Desarrollo",7,4,"Medicina",3,"Mujer",3,2,"Manufacturing Director",3,"Casado",5258,2,"No",14,3,3,0,7,2,4,1,0,0,0,43523.2192286615
41,"Si","Viaja_frecuentemente","Ventas",4,3,"Marketing",1,"Hombre",3,2,"Ejecutivo de Ventas",2,"Soltero",9355,1,"No",18,3,3,0,8,5,3,8,7,7,7,19119.0727639271
50,"No","Viaja_Raramente","Investigacion & Desarrollo",10,3,"Tecnico",4,"Hombre",2,3,"Representante de Salud",4,"Soltero",10496,6,"No",15,3,4,0,20,2,3,4,3,1,3,55674.6805134142
40,"Si","Viaja_Raramente","Ventas",22,2,"Marketing",3,"Hombre",2,2,"Ejecutivo de Ventas",3,"Casado",6380,2,"Si",12,3,1,2,8,6,3,6,4,1,0,11233.8573499262
31,"No","Viaja_Raramente","Investigacion & Desarrollo",9,4,"Ciencias de la Salud",3,"Hombre",2,1,"Investigador Cientifico",2,"Soltero",2657,0,"Si",16,3,4,0,3,5,3,2,2,2,2,89833.0940546743
21,"Si","Viaja_Raramente","Ventas",12,3,"Ciencias de la Salud",3,"Mujer",4,1,"Representante de Ventas",2,"Soltero",2716,1,"No",15,3,4,0,1,0,3,1,0,0,0,24422.5585228489
29,"No","Viaja_Raramente","Investigacion & Desarrollo",23,3,"Ciencias de la Salud",4,"Hombre",3,1,"Investigador Cientifico",4,"Soltero",2201,9,"No",16,3,4,0,6,4,3,3,2,1,2,18416.8797153897
35,"No","Viaja_Raramente","Investigacion & Desarrollo",9,4,"Ciencias de la Salud",3,"Hombre",2,2,"Representante de Salud",2,"Soltero",6540,9,"No",19,3,3,0,10,5,3,1,1,0,0,42871.6651158065
27,"No","Viaja_Raramente","Investigacion & Desarrollo",1,2,"Medicina",4,"Hombre",3,1,"Tecnico de Laboratorio",2,"Divorciado",3816,1,"No",11,3,2,1,5,2,3,5,2,0,4,18203.7552331226
28,"No","Viaja_Raramente","Ventas",9,4,"Ciencias de la Salud",2,"Hombre",3,2,"Ejecutivo de Ventas",4,"Soltero",5253,1,"No",16,3,4,0,7,1,3,7,5,0,7,42473.1350236605
49,"No","Viaja_Raramente","Investigacion & Desarrollo",7,3,"Otro",2,"Hombre",2,3,"Representante de Salud",3,"Soltero",10965,8,"No",24,4,3,0,26,2,3,5,2,0,0,5874.17017852549
51,"No","Viaja_Raramente","Ventas",14,2,"Ciencias de la Salud",3,"Mujer",3,2,"Ejecutivo de Ventas",4,"Casado",4936,4,"No",11,3,3,1,18,2,2,7,7,0,7,25701.1545787428
36,"No","Viaja_Raramente","Investigacion & Desarrollo",2,3,"Ciencias de la Salud",4,"Mujer",3,1,"Investigador Cientifico",3,"Casado",2543,4,"No",13,3,2,1,6,3,3,2,2,2,2,32218.3334401176
34,"Si","No_Viaja","Ventas",19,3,"Marketing",1,"Hombre",4,2,"Ejecutivo de Ventas",4,"Soltero",5304,8,"Si",13,3,2,0,9,3,2,5,2,0,4,10523.3035530022
55,"No","Viaja_Raramente","Investigacion & Desarrollo",2,3,"Ciencias de la Salud",3,"Mujer",3,4,"Manager",4,"Soltero",16659,2,"Si",13,3,3,0,30,2,3,5,4,1,2,73466.5738018889
24,"No","Viaja_Raramente","Ventas",10,4,"Marketing",4,"Mujer",3,2,"Ejecutivo de Ventas",3,"Divorciado",4260,1,"Si",12,3,4,1,5,2,4,5,2,0,3,90613.7267185657
30,"No","Viaja_Raramente","Ventas",2,1,"Tecnico",3,"Hombre",3,1,"Representante de Ventas",2,"Casado",2476,1,"No",18,3,1,1,1,3,3,1,0,0,0,-15563.0363935802
26,"Si","Viaja_frecuentemente","Investigacion & Desarrollo",3,1,"Tecnico",3,"Hombre",3,1,"Investigador Cientifico",1,"Soltero",3102,0,"No",22,4,3,0,7,2,3,6,4,0,4,32592.1662416483
22,"No","Viaja_Raramente","Investigacion & Desarrollo",11,3,"Medicina",1,"Mujer",3,1,"Investigador Cientifico",2,"Casado",2244,1,"No",13,3,4,1,2,1,3,2,1,1,2,37143.0789421491
36,"No","Viaja_Raramente","Ventas",2,2,"Medicina",2,"Hombre",2,3,"Ejecutivo de Ventas",3,"Casado",7596,1,"No",13,3,2,2,10,2,3,10,9,9,0,24724.3631076182
30,"Si","Viaja_frecuentemente","Investigacion & Desarrollo",4,3,"Tecnico",3,"Hombre",3,1,"Investigador Cientifico",4,"Soltero",2285,9,"Si",23,4,3,0,3,4,3,1,0,0,0,-19068.5337148099
37,"No","Viaja_Raramente","Investigacion & Desarrollo",14,3,"Ciencias de la Salud",4,"Mujer",3,1,"Tecnico de Laboratorio",1,"Divorciado",3034,1,"No",12,3,3,1,18,2,2,18,7,12,17,70511.6531402778
40,"No","Viaja_Raramente","Ventas",2,2,"Marketing",4,"Mujer",3,2,"Ejecutivo de Ventas",2,"Divorciado",5715,7,"No",12,3,3,2,8,5,3,5,4,1,3,62802.0296711106
42,"No","Viaja_Raramente","Investigacion & Desarrollo",1,4,"Ciencias de la Salud",2,"Mujer",3,1,"Tecnico de Laboratorio",1,"Divorciado",2576,3,"No",16,3,2,1,8,5,3,5,2,1,2,49639.7328488924
37,"No","Viaja_Raramente","Investigacion & Desarrollo",10,4,"Ciencias de la Salud",3,"Hombre",3,2,"Manufacturing Director",2,"Soltero",4197,2,"Si",12,3,4,0,18,2,2,1,0,0,1,50727.5857434693
43,"No","Viaja_Raramente","Investigacion & Desarrollo",12,3,"Ciencias de la Salud",1,"Hombre",2,4,"Director de Investigacion",2,"Divorciado",14336,1,"No",11,3,3,1,25,3,3,25,10,3,9,6047.11939878901
40,"No","Viaja_Raramente","Investigacion & Desarrollo",2,3,"Medicina",2,"Mujer",2,2,"Tecnico de Laboratorio",3,"Casado",3448,6,"No",22,4,2,1,20,3,3,1,0,0,0,62522.484299821
54,"No","Viaja_Raramente","Investigacion & Desarrollo",5,2,"Medicina",1,"Hombre",3,5,"Director de Investigacion",1,"Casado",19406,4,"No",11,3,3,1,24,4,2,4,2,1,2,18964.431914996
34,"No","No_Viaja","Ventas",4,4,"Marketing",3,"Mujer",3,2,"Ejecutivo de Ventas",3,"Casado",6538,9,"No",15,3,1,1,6,3,3,3,2,1,2,41193.4255428086
31,"No","Viaja_Raramente","Investigacion & Desarrollo",7,2,"Medicina",2,"Mujer",3,2,"Manufacturing Director",1,"Casado",4306,1,"No",12,3,2,1,13,5,1,13,10,3,12,68823.0306518583
43,"No","Viaja_frecuentemente","Investigacion & Desarrollo",21,3,"Medicina",4,"Hombre",3,1,"Tecnico de Laboratorio",4,"Casado",2258,7,"No",20,4,1,1,8,1,3,3,2,1,2,76296.1965052071
43,"No","Viaja_Raramente","Investigacion & Desarrollo",8,4,"Otro",3,"Mujer",3,2,"Representante de Salud",3,"Divorciado",4522,4,"Si",14,3,4,0,8,3,3,5,2,0,2,4982.5782772708
25,"No","Viaja_Raramente","Ventas",4,2,"Ciencias de la Salud",2,"Mujer",2,2,"Ejecutivo de Ventas",4,"Soltero",4487,1,"Si",11,3,2,0,5,3,3,5,4,1,3,35913.6981843837
37,"No","No_Viaja","Investigacion & Desarrollo",25,5,"Medicina",2,"Mujer",3,2,"Investigador Cientifico",3,"Casado",4449,3,"Si",15,3,1,2,15,2,3,13,11,10,7,4218.47583766522
31,"No","Viaja_Raramente","Investigacion & Desarrollo",1,2,"Ciencias de la Salud",4,"Hombre",2,1,"Tecnico de Laboratorio",1,"Casado",2218,1,"No",12,3,3,1,4,3,3,4,2,3,2,76695.2574930727
39,"No","Viaja_frecuentemente","Investigacion & Desarrollo",1,1,"Ciencias de la Salud",2,"Hombre",3,5,"Manager",3,"Divorciado",19197,1,"Si",14,3,3,1,21,3,3,21,8,1,6,43133.5603469642
56,"No","Viaja_frecuentemente","Ventas",6,3,"Ciencias de la Salud",3,"Mujer",4,4,"Ejecutivo de Ventas",1,"Casado",13212,9,"No",11,3,4,3,36,0,2,7,7,7,7,81893.3124451766
30,"No","Viaja_Raramente","Ventas",12,3,"Tecnico",2,"Mujer",3,2,"Ejecutivo de Ventas",3,"Soltero",6577,0,"No",11,3,2,0,6,6,3,5,4,4,4,19611.1357437264
41,"No","Viaja_Raramente","Ventas",1,3,"Marketing",2,"Hombre",4,3,"Ejecutivo de Ventas",1,"Casado",8392,1,"No",16,3,3,1,10,2,3,10,7,0,7,37868.2840830663
28,"No","Viaja_Raramente","Investigacion & Desarrollo",17,2,"Medicina",3,"Hombre",3,2,"Tecnico de Laboratorio",1,"Divorciado",4558,1,"No",12,3,4,1,10,2,3,10,0,1,8,61082.8159056729
25,"Si","Viaja_Raramente","Investigacion & Desarrollo",3,3,"Medicina",1,"Hombre",3,1,"Tecnico de Laboratorio",1,"Casado",4031,5,"No",13,3,3,1,6,5,3,2,2,0,2,-31873.2823352352
52,"No","Viaja_Raramente","Investigacion & Desarrollo",3,3,"Medicina",4,"Hombre",2,3,"Manufacturing Director",3,"Casado",7969,2,"Si",14,3,3,0,28,4,3,5,4,0,4,20553.5880371206
45,"No","Viaja_Raramente","Investigacion & Desarrollo",10,2,"Ciencias de la Salud",1,"Hombre",3,1,"Investigador Cientifico",4,"Casado",2654,3,"No",21,4,4,2,8,3,2,2,2,0,2,43423.0777424331
52,"No","Viaja_Raramente","Investigacion & Desarrollo",4,2,"Ciencias de la Salud",4,"Mujer",3,4,"Manager",4,"Casado",16555,2,"No",13,3,4,0,31,2,1,5,2,1,4,45141.9256631081
42,"No","Viaja_frecuentemente","Investigacion & Desarrollo",29,2,"Ciencias de la Salud",1,"Mujer",3,2,"Investigador Cientifico",3,"Divorciado",4556,2,"No",11,3,2,1,19,3,3,5,4,0,2,50602.2022721577
30,"No","Viaja_Raramente","Investigacion & Desarrollo",2,3,"Ciencias de la Salud",3,"Mujer",1,2,"Manufacturing Director",4,"Soltero",6091,2,"No",20,4,3,0,11,2,3,5,4,0,2,67714.2217792891
60,"No","Viaja_Raramente","Investigacion & Desarrollo",7,3,"Ciencias de la Salud",1,"Mujer",3,5,"Manager",1,"Casado",19566,5,"No",11,3,4,0,33,5,1,29,8,11,10,58916.4658173412
46,"No","Viaja_Raramente","Investigacion & Desarrollo",18,3,"Medicina",3,"Mujer",3,2,"Manufacturing Director",3,"Divorciado",4810,2,"No",14,3,3,1,19,5,2,10,7,0,8,35579.7785263805
42,"No","Viaja_frecuentemente","Investigacion & Desarrollo",28,4,"Tecnico",4,"Mujer",2,2,"Representante de Salud",4,"Casado",4523,0,"No",11,3,4,3,7,4,4,6,5,0,4,21321.5051736228
24,"Si","Viaja_Raramente","Ventas",1,1,"Tecnico",1,"Mujer",3,1,"Representante de Ventas",2,"Soltero",3202,1,"Si",16,3,2,0,6,0,3,5,3,1,4,32754.6806078144
34,"Si","Viaja_frecuentemente","Ventas",6,2,"Marketing",4,"Mujer",1,1,"Representante de Ventas",3,"Divorciado",2351,0,"No",16,3,4,1,3,0,2,2,2,1,0,-25679.5725729011
38,"No","Viaja_frecuentemente","Investigacion & Desarrollo",2,2,"Ciencias de la Salud",4,"Hombre",3,1,"Tecnico de Laboratorio",4,"Casado",1702,1,"Si",23,4,3,1,1,3,3,1,0,0,0,17129.3117803499
40,"No","Viaja_Raramente","Ventas",2,4,"Ciencias de la Salud",3,"Mujer",3,5,"Manager",3,"Casado",18041,0,"No",14,3,4,0,21,2,3,20,15,1,12,3311.82853692646
26,"No","Viaja_Raramente","Investigacion & Desarrollo",23,3,"Ciencias de la Salud",1,"Mujer",3,1,"Investigador Cientifico",4,"Divorciado",2886,1,"No",22,4,2,2,3,3,1,3,2,0,2,79558.1597065769
30,"No","No_Viaja","Investigacion & Desarrollo",3,3,"Ciencias de la Salud",3,"Hombre",3,1,"Tecnico de Laboratorio",4,"Casado",2097,4,"No",15,3,3,1,9,3,1,5,3,1,4,62852.4256576945
29,"No","Viaja_Raramente","Investigacion & Desarrollo",3,4,"Medicina",2,"Hombre",2,3,"Director de Investigacion",3,"Casado",11935,1,"No",18,3,3,0,10,2,3,10,2,0,7,81586.2921809407
29,"Si","Viaja_Raramente","Investigacion & Desarrollo",25,5,"Tecnico",3,"Mujer",2,1,"Investigador Cientifico",2,"Casado",2546,5,"No",16,3,2,0,6,2,4,2,2,1,1,33939.8765197067
19,"Si","Viaja_Raramente","Recursos Humanos",2,2,"Tecnico",1,"Hombre",2,1,"Recursos Humanos",4,"Soltero",2564,1,"No",12,3,3,0,1,3,4,1,0,0,0,75652.6730557072
30,"No","No_Viaja","Ventas",22,4,"Otro",3,"Mujer",3,3,"Ejecutivo de Ventas",1,"Casado",8412,0,"No",11,3,3,0,10,3,3,9,8,7,8,40936.2135238555
57,"No","Viaja_Raramente","Ventas",29,3,"Marketing",1,"Hombre",2,4,"Manager",4,"Divorciado",14118,3,"No",12,3,3,1,32,3,2,1,0,0,0,-32356.5702118908
50,"No","Viaja_Raramente","Investigacion & Desarrollo",29,4,"Ciencias de la Salud",2,"Hombre",2,4,"Manager",3,"Casado",17046,0,"No",15,3,2,1,28,2,3,27,10,15,7,1090.09332499095
30,"No","No_Viaja","Investigacion & Desarrollo",2,3,"Medicina",3,"Mujer",3,1,"Tecnico de Laboratorio",4,"Soltero",2564,0,"No",14,3,3,0,12,2,2,11,7,6,7,48365.6220689141
60,"No","Viaja_frecuentemente","Ventas",28,3,"Marketing",3,"Mujer",2,3,"Ejecutivo de Ventas",1,"Casado",10266,4,"No",19,3,4,0,22,5,4,18,13,13,11,30863.3565725484
47,"No","Viaja_Raramente","Investigacion & Desarrollo",2,2,"Medicina",1,"Mujer",3,2,"Manufacturing Director",4,"Divorciado",5070,5,"No",13,3,3,3,20,2,3,5,0,0,4,30666.3000485633
46,"No","Viaja_Raramente","Investigacion & Desarrollo",2,3,"Ciencias de la Salud",1,"Hombre",3,4,"Director de Investigacion",3,"Casado",17861,6,"No",13,3,3,0,26,2,1,3,2,0,1,46446.5806879219
35,"No","Viaja_Raramente","Investigacion & Desarrollo",22,3,"Ciencias de la Salud",4,"Hombre",1,1,"Tecnico de Laboratorio",3,"Soltero",4230,0,"No",15,3,3,0,6,2,3,5,4,4,3,46927.3343153593
54,"No","Viaja_Raramente","Investigacion & Desarrollo",8,4,"Ciencias de la Salud",3,"Mujer",3,2,"Tecnico de Laboratorio",3,"Soltero",3780,7,"No",11,3,3,0,19,3,3,1,0,0,0,14472.8873857384
34,"No","Viaja_Raramente","Investigacion & Desarrollo",2,4,"Ciencias de la Salud",4,"Hombre",2,1,"Investigador Cientifico",3,"Divorciado",2768,3,"No",12,3,3,1,14,3,3,7,3,5,7,38034.2543470658
46,"No","Viaja_Raramente","Ventas",10,3,"Marketing",3,"Mujer",2,3,"Ejecutivo de Ventas",4,"Casado",9071,2,"Si",19,3,3,1,15,3,3,3,2,1,2,54274.8974823038
31,"No","Viaja_Raramente","Investigacion & Desarrollo",9,1,"Ciencias de la Salud",3,"Hombre",3,3,"Manufacturing Director",2,"Divorciado",10648,1,"No",25,4,4,1,13,6,4,13,8,0,8,13707.9436416931
33,"Si","Viaja_Raramente","Investigacion & Desarrollo",15,1,"Medicina",2,"Hombre",3,3,"Manager",3,"Casado",13610,7,"Si",12,3,4,0,15,2,4,7,6,7,7,76521.4466579784
33,"Si","Viaja_Raramente","Investigacion & Desarrollo",10,1,"Medicina",1,"Hombre",1,1,"Tecnico de Laboratorio",4,"Divorciado",3408,7,"No",13,3,1,3,8,2,3,4,3,1,3,129006.487237107
30,"No","Viaja_Raramente","Ventas",7,1,"Marketing",4,"Hombre",3,1,"Representante de Ventas",2,"Soltero",2983,0,"No",14,3,1,0,4,3,3,3,2,1,2,38316.9381565422
35,"No","Viaja_Raramente","Investigacion & Desarrollo",16,3,"Ciencias de la Salud",4,"Hombre",3,3,"Representante de Salud",3,"Casado",7632,4,"Si",12,3,3,0,10,2,3,8,7,0,0,47049.9991818689
31,"Si","Viaja_frecuentemente","Investigacion & Desarrollo",20,3,"Ciencias de la Salud",1,"Hombre",3,3,"Representante de Salud",3,"Casado",9824,3,"No",12,3,1,0,12,2,3,1,0,0,0,17739.3350356056
34,"Si","Viaja_frecuentemente","Recursos Humanos",23,3,"Recursos Humanos",2,"Mujer",3,3,"Recursos Humanos",1,"Divorciado",9950,9,"Si",15,3,3,3,11,2,3,3,2,0,2,42476.1671538989
42,"No","Viaja_frecuentemente","Investigacion & Desarrollo",5,2,"Otro",2,"Hombre",3,1,"Tecnico de Laboratorio",3,"Casado",2093,4,"No",17,3,4,1,8,4,3,2,2,2,0,72769.8344086864
36,"No","No_Viaja","Ventas",10,4,"Medicina",2,"Hombre",3,3,"Ejecutivo de Ventas",4,"Soltero",9980,1,"No",14,3,4,0,10,3,2,10,3,9,7,62875.1130232123
22,"Si","Viaja_frecuentemente","Investigacion & Desarrollo",4,1,"Tecnico",3,"Hombre",2,1,"Tecnico de Laboratorio",3,"Soltero",3894,5,"No",16,3,3,0,4,3,3,2,2,1,2,14200.7735973262
48,"No","Viaja_Raramente","Ventas",2,5,"Marketing",2,"Mujer",3,2,"Ejecutivo de Ventas",4,"Casado",4051,2,"No",14,3,1,1,14,2,3,9,7,6,7,20475.3304183621
55,"No","Viaja_Raramente","Ventas",18,5,"Ciencias de la Salud",1,"Mujer",3,4,"Manager",2,"Soltero",16835,3,"No",23,4,4,0,37,2,3,10,9,7,7,41505.6206227919
41,"No","No_Viaja","Ventas",10,2,"Ciencias de la Salud",4,"Hombre",3,2,"Ejecutivo de Ventas",4,"Soltero",6230,7,"No",14,3,4,0,16,3,3,14,3,1,10,56000.7222708948
35,"No","Viaja_Raramente","Ventas",1,3,"Marketing",2,"Hombre",3,2,"Ejecutivo de Ventas",3,"Casado",4717,9,"No",11,3,3,0,15,2,3,11,9,6,9,81598.5776192549
40,"No","Viaja_Raramente","Investigacion & Desarrollo",6,3,"Ciencias de la Salud",2,"Mujer",3,4,"Manufacturing Director",3,"Soltero",13237,7,"No",15,3,3,0,22,3,3,20,6,5,13,67468.2455925305
39,"No","Viaja_frecuentemente","Investigacion & Desarrollo",8,1,"Ciencias de la Salud",3,"Mujer",3,1,"Tecnico de Laboratorio",3,"Casado",3755,1,"No",11,3,1,1,8,3,3,8,3,0,7,17345.6165264255
31,"No","Viaja_Raramente","Ventas",2,1,"Ciencias de la Salud",2,"Hombre",3,2,"Ejecutivo de Ventas",4,"Soltero",6582,4,"Si",13,3,3,0,10,2,4,6,5,0,5,40175.8097501889
42,"No","Viaja_Raramente","Investigacion & Desarrollo",24,3,"Medicina",4,"Hombre",3,3,"Manufacturing Director",1,"Casado",7406,1,"Si",21,4,4,1,10,5,2,10,9,5,8,62792.88996471
45,"No","Viaja_Raramente","Ventas",2,3,"Otro",4,"Hombre",3,2,"Ejecutivo de Ventas",2,"Casado",4805,0,"No",19,3,2,1,9,3,4,8,7,3,7,20871.4376922125
26,"Si","Viaja_frecuentemente","Recursos Humanos",17,4,"Ciencias de la Salud",2,"Mujer",3,1,"Recursos Humanos",3,"Divorciado",2741,0,"Si",11,3,2,1,8,2,2,7,7,1,0,15789.4298187174
29,"No","Viaja_Raramente","Investigacion & Desarrollo",19,3,"Tecnico",4,"Hombre",3,2,"Manufacturing Director",4,"Divorciado",4262,4,"No",12,3,2,2,8,2,4,3,2,1,2,58862.9580362933
33,"No","Viaja_Raramente","Investigacion & Desarrollo",1,5,"Medicina",1,"Mujer",4,4,"Director de Investigacion",3,"Divorciado",16184,4,"No",19,3,3,1,10,2,3,6,1,0,5,10883.9034717911
31,"No","Viaja_Raramente","Ventas",7,3,"Ciencias de la Salud",3,"Hombre",2,3,"Manager",4,"Divorciado",11557,9,"No",21,4,3,1,10,3,2,5,4,0,1,20635.7810175856
18,"Si","Viaja_frecuentemente","Ventas",5,3,"Marketing",2,"Hombre",3,1,"Representante de Ventas",2,"Soltero",1878,1,"Si",14,3,4,0,0,1,3,0,0,0,0,-28420.6491228448
40,"No","No_Viaja","Ventas",28,3,"Otro",3,"Hombre",1,3,"Ejecutivo de Ventas",1,"Divorciado",10932,3,"No",15,3,3,1,20,2,3,1,0,0,1,78803.7629328027
41,"No","No_Viaja","Investigacion & Desarrollo",2,4,"Otro",1,"Mujer",2,2,"Representante de Salud",3,"Soltero",6811,2,"Si",17,3,1,0,10,3,3,8,7,0,7,7246.42712912705
26,"No","Viaja_Raramente","Ventas",29,2,"Medicina",1,"Hombre",3,2,"Ejecutivo de Ventas",3,"Divorciado",4306,5,"No",12,3,1,2,8,5,3,0,0,0,0,98555.1813610012
35,"No","Viaja_Raramente","Ventas",1,3,"Medicina",1,"Mujer",3,2,"Ejecutivo de Ventas",3,"Soltero",4859,1,"No",16,3,4,0,5,3,3,5,4,0,3,52103.8144924149
34,"No","Viaja_Raramente","Ventas",21,4,"Ciencias de la Salud",4,"Hombre",4,2,"Ejecutivo de Ventas",4,"Soltero",5337,1,"No",12,3,4,0,10,3,3,10,7,5,7,62510.7335061019
26,"Si","Viaja_Raramente","Investigacion & Desarrollo",24,3,"Tecnico",3,"Hombre",1,1,"Tecnico de Laboratorio",4,"Soltero",2340,1,"Si",18,3,2,0,1,3,1,1,0,0,0,26016.4430629458
37,"No","Viaja_Raramente","Investigacion & Desarrollo",1,3,"Tecnico",2,"Mujer",3,3,"Manufacturing Director",4,"Soltero",7491,4,"No",17,3,4,0,12,3,4,6,5,1,2,54042.5191490685
46,"No","Viaja_frecuentemente","Investigacion & Desarrollo",18,1,"Medicina",1,"Mujer",3,3,"Representante de Salud",3,"Casado",10527,5,"No",11,3,4,0,28,3,2,2,2,1,2,139890.0058576
41,"No","Viaja_Raramente","Ventas",2,5,"Ciencias de la Salud",2,"Mujer",3,4,"Manager",1,"Casado",16595,7,"No",16,3,2,1,22,2,3,18,16,11,8,54927.1441845837
37,"No","No_Viaja","Ventas",9,4,"Medicina",1,"Hombre",3,3,"Ejecutivo de Ventas",2,"Divorciado",8834,1,"No",13,3,4,1,9,6,3,9,5,7,7,90298.3414201742
52,"No","Viaja_Raramente","Investigacion & Desarrollo",6,2,"Tecnico",4,"Hombre",3,2,"Investigador Cientifico",1,"Divorciado",5577,3,"Si",12,3,2,2,18,3,3,10,9,6,9,9643.9746746466
32,"Si","No_Viaja","Ventas",11,4,"Otro",4,"Hombre",4,2,"Ejecutivo de Ventas",3,"Casado",4707,8,"No",12,3,4,0,6,2,3,4,2,1,2,25743.4369895708
24,"No","Viaja_frecuentemente","Ventas",24,3,"Medicina",4,"Hombre",3,1,"Representante de Ventas",4,"Casado",2400,0,"No",13,3,3,2,3,3,3,2,2,2,1,50820.535424765
38,"No","Viaja_Raramente","Investigacion & Desarrollo",10,3,"Medicina",3,"Mujer",3,2,"Representante de Salud",3,"Casado",9824,3,"No",19,3,3,1,18,4,3,1,0,0,0,42054.3578156664
37,"No","Viaja_Raramente","Investigacion & Desarrollo",1,4,"Ciencias de la Salud",2,"Mujer",3,2,"Manufacturing Director",2,"Casado",6447,6,"No",12,3,2,1,8,2,2,6,5,4,3,55495.7691081608
49,"No","Viaja_Raramente","Investigacion & Desarrollo",18,4,"Ciencias de la Salud",4,"Hombre",2,5,"Director de Investigacion",3,"Divorciado",19502,1,"Si",17,3,3,1,31,5,3,31,9,0,9,44079.8627593101
24,"No","Viaja_Raramente","Investigacion & Desarrollo",23,3,"Medicina",2,"Hombre",4,1,"Investigador Cientifico",4,"Casado",2725,1,"Si",11,3,2,2,6,3,3,6,5,1,4,54744.4500579917
26,"No","Viaja_Raramente","Ventas",28,2,"Marketing",1,"Hombre",3,2,"Ejecutivo de Ventas",2,"Casado",6272,1,"No",20,4,4,2,6,5,4,5,3,1,4,184.309002560949
